Coeff Mode 1,Coeff Mode 2,Coeff Mode 3,Coeff Mode 4,Coeff Mode 5,Coeff Mode 6,Coeff Mode 7,Coeff Mode 8
42434834.2053417,10792612.251642624,-3505797.8450157535,-1271609.817464898,412349.99108039646,81000.1838973766,-630668.050994989,396860.6657595107
42502765.09001209,5695782.736540375,344030.60574035614,-28462.65183592614,914905.7913017586,-200536.02449470793,-194131.30345620622,911247.5300076513
12814366.647225445,2437132.4009735035,-3364613.3742742613,-1877209.5492406958,255630.6607017173,610544.96402656,-812769.6462391112,372761.8683025195
-55044239.33770718,7914231.377374338,-3180134.960105347,3357821.4489263874,-4888329.481862926,-4794751.417719891,1121588.6985696503,-469854.29414323845
-156278559.64398205,22974247.08499065,10341996.4993325,-2760092.555120933,1148317.1300372996,2276664.379438495,2103150.2390882187,-1637987.4466655052
42690616.15580716,10031132.4822375,-3325772.728625305,-375471.17041753116,770190.6990783429,-298444.57287824585,141253.5623668761,367388.93946006574
45308415.531781144,4264973.781304515,2649868.5372812715,1557564.466433356,841403.3013492816,-266223.9171632937,-46453.83113281225,20487.575419940928
22803710.666359983,-1425980.0188847966,-1612819.1652894493,-4746897.932344413,481301.76037664694,-680993.0222304051,650256.4377911357,304546.2456470106
-33480123.040498525,-2441380.6971962657,-6918356.830239564,2395437.419800496,3597512.9968482545,3683628.1322507896,-362977.6260378231,408688.58108133083
-126039249.40325311,7806759.434984494,4437657.812861005,-1937855.729872121,-1006224.1872698205,-1365011.226370031,-3799072.618241164,2819880.70882376
42151978.90022832,9327687.82414039,-3880800.0864283433,-585453.9111177506,510919.67691876495,-366023.2232710071,192352.9779455316,329983.33711763145
43160848.64761823,2384460.6747850687,3053874.4159193556,1995613.941797572,1346591.0084083348,-1388306.854404924,-2790140.2160742627,-4429805.894292805
29610148.24255002,-4020821.6533858352,1825909.9292924437,-2029760.1118449476,-399226.17931055307,23819.742781015782,-297927.8801648674,-286991.52477665123
-18795388.899255726,-7526256.107374128,-2370616.013933699,-1405890.4616008755,-136806.7057627327,967320.8421600771,-1132973.1001815817,33228.313534726825
-100321725.8311352,-6971340.622364662,-7680289.073072421,5113694.990060084,2320848.6420639097,-580623.026073755,1716527.810928655,135500.82572201837
42209590.51632303,8553904.876818264,-4196521.915663546,-324876.8184656456,504197.5262014945,-793532.913483691,271280.1945696341,150289.02208668523
46376934.478625506,-593174.9485811037,2867895.1683327854,1505832.8777796165,-2742347.4062137003,2455958.6119823586,-6647.243600073503,-122522.19380160555
36737224.32672139,-6869573.780725879,6524698.699621604,1986061.1776107925,460992.2972580561,-303441.0534643071,-407686.68780770386,240633.91152952082
-3239104.1969917174,-13846301.372826794,62757.14521205065,-7929378.29203824,1027805.5915729919,-1814826.579643927,2056399.4025364246,145222.7784025604
-81722071.64522877,-12074932.677270934,-5362176.991967819,4451961.49576794,-1409780.081361543,119451.53665686864,284051.7683646163,-844353.3505047875
42814117.67365136,7308222.024285456,-4503865.507649713,43938.10302851019,406243.8769313639,-1141573.1754909167,400113.7562511051,83618.16831334046
48810658.22917112,-1948801.702277075,2799026.7823888557,1848546.4438631365,-4887252.397383627,4044004.4623348108,1049894.4263401018,528243.0930126022
41910120.60644922,-9599186.118642453,13141404.520416891,6923651.505928683,2781775.6734279976,-1870289.075337623,1032581.8053977124,1686048.3579403379
7468369.068492939,-17750300.57678522,3652264.783351982,-5195935.947129857,-581425.0953905019,-812593.1692133523,720802.5152198275,-703720.0997095497
-60543139.073470764,-21213595.636658736,-887486.1865761421,-994892.3184717827,-845190.8426114211,1171054.530731478,-1622403.0957460068,-476518.06167351594
45658902.08516442,6790498.962896704,-912134.2209097473,283663.395969045,-884404.2463897768,1243721.8649802625,363597.7043071098,37122.94340645528
