omega,qv,dataset,P_error,Ur_error,Ut_error,Uz_error
375.0,0.05,Training Set,0.06738703527455664,0.07442849335575423,0.19261406597643602,0.15460630894769173
375.0,0.16,Training Set,0.019915709217706065,0.14408009626811782,0.1758361159155633,0.05036854577337323
375.0,0.27,Test Set,0.08829568877721775,0.4215395787692107,0.09407118875526721,0.08214997613105862
375.0,0.37,Training Set,0.10392505748255522,0.05329493571711982,0.07966747706368406,0.04452981414556616
375.0,0.48,Training Set,0.08745262849184658,0.10288808560944314,0.01826979105096827,0.047453483822064185
450.0,0.05,Training Set,0.054093922509494394,0.04227907829371156,0.1584165807908559,0.22107772825969993
450.0,0.16,Test Set,0.013890835543921723,0.422186617694236,0.20856779262909836,0.11724251298517191
450.0,0.27,Training Set,0.015362745756687626,0.05991934207287338,0.05092544776461735,0.12444771608389638
450.0,0.37,Training Set,0.10356067184448263,0.05293567779159831,0.07883865662352121,0.04739564880576761
450.0,0.48,Training Set,0.0027824937441121513,0.06202669969275742,0.04095472258900347,0.0576718751827823
525.0,0.05,Training Set,0.0457012423540073,0.06513600390236096,0.2295806271187281,0.35001312806753115
525.0,0.16,Training Set,0.04805867508227108,0.11439914767565137,0.2061967186636276,0.09951218093622079
525.0,0.27,Test Set,0.03666018098086569,0.2764580221124731,0.08422288124882005,0.11268832950051354
525.0,0.37,Training Set,0.02916779666549399,0.06733788347275305,0.07528177688353646,0.0651909621030451
525.0,0.48,Training Set,0.02610678499975948,0.06721633578032367,0.03380055602555759,0.05717982650767423
600.0,0.05,Training Set,0.05221928852883403,0.05700904854833533,0.32876972340258626,0.3843576288324612
600.0,0.16,Training Set,0.03666866412767037,0.03826268101479987,0.15775759218116922,0.1463991665221134
600.0,0.27,Training Set,0.007327468183729361,0.11356718789343619,0.17326947351297178,0.04589395174086063
600.0,0.37,Test Set,0.010075526337749724,0.06465453287668416,0.05780477883333705,0.10276026412151415
600.0,0.48,Training Set,0.009388191047105398,0.06451368958748015,0.04176853757274962,0.05463669038508575
675.0,0.05,Training Set,0.05656178342212159,0.0633547085125743,0.36757259972326883,0.37864606018946034
675.0,0.16,Training Set,0.048253755619428226,0.08320274836400043,0.10482352764493624,0.13964890124188425
675.0,0.27,Training Set,0.0034894742731255194,0.10361946726628389,0.2074467890029599,0.06490423111704748
675.0,0.37,Test Set,0.06221153942572745,0.11668294018573709,0.14131434804803703,0.16627677629053103
675.0,0.48,Training Set,0.06534855186825879,0.0673166009478053,0.07384185906731458,0.06639135926116481
