Coeff Mode 1,Coeff Mode 2,Coeff Mode 3,Coeff Mode 4,Coeff Mode 5,Coeff Mode 6,Coeff Mode 7,Coeff Mode 8
287096.1019465331,-1915403.4252184262,-841542.2247190755,1164811.0544340983,-54156.16882335291,-44896.133928673895,-69948.23552995238,-317297.72827142756
4369877.648417163,-5827608.833640868,-3423446.1168231196,2646244.1840498163,368433.4498970502,-461151.70684494486,-277497.8239486433,226654.51629962522
-7480480.72719622,-10560327.928523587,-1651898.416243634,700305.3139268709,-34318.99134213412,414113.37857434776,157073.53914549877,-433164.28319881466
-31781585.132984594,-6694152.022695274,-1260360.9292676067,5992266.180931922,-6239524.875123867,-3722612.0046576406,-1707529.5115814905,-895963.4202382207
-63554362.527859114,8137702.118488751,-13029185.834089605,1251217.6930038843,1352462.5433860386,1718504.999026236,-3285765.804397094,-1520832.983525081
1179612.5039629661,-2453386.1429281062,-470613.76957070676,1913232.1214407098,100571.99373053519,-449434.5282716901,-723704.0266146908,-216641.1451942498
7761090.814532251,-6430441.891886183,-4436205.54000402,4232649.0786575945,210336.8146282989,-506846.6855260821,-409192.43278208014,-803574.5038108284
-1872079.7918857317,-13621284.62815153,-3300917.8257923867,-2060744.0230500947,-268352.7893245193,-830091.2259637334,-1159646.4539904303,-194568.8075850549
-22778261.400942426,-16665137.44980866,2094750.4710756417,4314281.994742176,3763908.586615179,2719175.5749576893,-156536.17839967506,-417603.2318578494
-52728084.7928604,-7062345.183455624,-9152596.124863328,1792873.9215073567,-1295019.7801713133,-1505480.1164804602,3666338.395057669,1127080.4544167533
911067.1506428082,-3246937.9226883026,-86680.8566098578,1653121.439918126,-195779.28676267026,-436203.3413363352,-759467.6624717447,-255434.88229285972
6377321.077208192,-8588205.848945584,-5927449.398112209,5196123.45078614,1037772.8127579738,-2006173.0573566328,509910.37342613563,-5410520.026866426
3139429.468406114,-15209430.517752955,-5648378.406944212,1021610.1386848895,-781223.8416785849,-34845.645067607875,-385044.34935528773,-1057994.3045471914
-15036438.27554015,-20610526.263022717,-3089612.179712081,1432278.677759355,-205049.17855745682,736194.3099395137,345186.77887171105,-816651.1516749137
-44347785.9599501,-22508055.77606657,2702867.5448449105,6951221.980158772,1535586.5221246579,-1190574.139547747,-2299229.937401119,610.3353338227353
1172043.9551394463,-3991204.010774369,326014.4806494346,1825997.0873857473,-341374.0324959674,-827630.6672902158,-836617.7345395561,-444446.52048316883
7972314.394300107,-11495226.703469254,-6228231.406808108,4841681.472111894,-2289354.2804041435,2792113.7012687,-882474.0231225027,-583383.137010236
9670711.493085952,-16566767.800942054,-8215317.659921141,5277592.212928915,64378.75904962213,-572031.9885943665,-190088.94907256807,-547258.7017513118
-6316833.323874488,-25710816.391173072,-5619232.21508923,-5002380.844380023,-73652.49401071027,-2082809.542173808,-2531178.95298371,29259.909466237677
-36152067.716502845,-26756997.06011583,-68513.35128128884,6900382.409880756,-1670970.0138078479,175803.2514813622,-1098851.0083427404,-1413319.3021911518
1676142.857204523,-5196401.282453701,667368.0501062399,2136727.722931587,-536058.2754487668,-1133579.097255954,-960589.7188512108,-486029.52916971716
9745984.242593842,-12597970.629665934,-5747085.845552901,5029769.116757364,-4249204.381002386,4885714.681596836,-1235481.494789086,-77628.48932679623
16496387.246890804,-17461775.539169323,-12132014.147902373,10612133.722142931,2123921.883763578,-2706760.3751309314,-1583838.6386807766,1578331.8874352756
124983.81094913013,-28536198.691649795,-8408735.67351978,-1754269.1027120783,-1131925.6678652535,-875422.9563270336,-1493874.7217226734,-1162241.0314802069
-24946543.00423553,-34403287.63581711,-5310581.324178671,2265998.9673796683,-631615.9451546039,922156.2263311588,584674.2362170904,-1348935.611244964
