Coeff Mode 1,Coeff Mode 2,Coeff Mode 3,Coeff Mode 4,Coeff Mode 5,Coeff Mode 6,Coeff Mode 7,Coeff Mode 8
259905.74990113228,-1929767.2616474964,-837550.7404089755,1164576.36144528,-35980.0472950872,-71892.29746460788,-66913.05096163835,-311996.83124523144
4289650.7856934965,-5907311.577075002,-3404617.6636063554,2644980.0069623995,410018.91577842936,-378354.5481471364,-278845.0565392768,225742.17225638323
-7610089.243775656,-10479530.045868142,-1567825.3563787998,698267.8783495966,-135900.33456258354,465324.0049322549,155865.53600049767,-433825.06459177297
-31864630.0565509,-6325628.093310994,-1158276.4105386348,5990065.1902615335,-5708361.164052225,-4486136.727882101,-1714111.5260710472,-899710.0103624042
-63479861.86979935,8820198.427760044,-12940853.269232798,1245304.320259824,990613.8006998218,2039706.6063633573,-3288633.3191949516,-1517786.9967146898
1146603.365366077,-2476427.026099782,-466228.48727135954,1913137.6326435315,167134.33083958484,-438596.98822782276,-723091.7011401794,-213823.8397566448
7673566.208512845,-6551251.042683591,-4413311.234283355,4230876.778673819,233701.9890843916,-404651.26048528956,-415785.6928285841,-810203.9097103463
-2044218.0863594974,-13622405.890800705,-3215625.8341077287,-2063147.208931699,-206258.52053860197,-777836.2254337205,-1165030.7371854887,-199052.71918061146
-22971766.860429548,-16376574.185498502,2249414.347752831,4312135.970762964,3283189.8046094766,3305756.008775169,-156988.86057511962,-417959.4569885397
-52831982.24853113,-6493590.543979884,-9005225.498171588,1787454.0194373284,-1184813.8441476799,-1513197.8246077544,3657712.4199047866,1111456.198804799
869020.4124224322,-3265183.798469989,-77643.98651496145,1653075.6139413682,-122069.96626005563,-477152.55459102103,-757256.5387538006,-250251.67072248278
6255463.623462598,-8714824.393365454,-5906932.811479551,5194262.135773971,1260662.867869505,-1767541.507657628,495170.31100627396,-5420239.818156953
2943713.218711425,-15282801.943653673,-5559609.365955249,1018287.3107971788,-828277.0024866784,-62562.15730366237,-387578.78269789915,-1058539.2500135128
-15288707.195266483,-20445855.70517619,-2923480.712753484,1428290.704411511,-394846.9203467107,822305.8068834374,342248.0869293788,-818848.0303149312
-44612953.610754184,-21967549.787023038,2922793.2491091015,6948409.840307563,1579320.3372353883,-805705.9797691155,-2310522.788367778,-9303.33882386469
1121109.9058470342,-4012044.6508304733,336100.35916747065,1826119.4077721888,-208556.74407766588,-888859.5773163066,-834901.8909958872,-439172.22703637194
7824311.805459678,-11618416.490584854,-6154352.879428537,4837984.9701915365,-2688162.4135719133,2472621.837067636,-871018.411193806,-567475.939690555
9449237.161006905,-16743031.621674977,-8144308.4503250485,5273965.814183387,86971.36231662103,-480369.57093331526,-192996.36889556164,-548450.4277574094
-6640781.037428952,-25677163.399301205,-5454895.792392469,-5006710.446630428,104267.16194894954,-1905062.717603448,-2544201.1266214265,17079.128234310054
-36469492.54758711,-26318260.357404627,182202.66669751226,6895744.322641069,-1801020.7562864523,110433.60090784874,-1104957.496242212,-1417102.1229458726
1610862.9711618475,-5222545.963088544,681809.2025509666,2136920.0208633547,-357565.33943164983,-1220243.2136733094,-959120.1969742349,-480584.9075684198
9595169.147837784,-12715549.792489411,-5636079.1576273935,5024959.444005838,-4956197.312070832,4318939.949050572,-1222017.8082880173,-62254.349176763746
16250093.630831635,-17757282.719696976,-12090447.918316592,10608182.466176974,2399917.0706186993,-2261453.30441922,-1595291.4818375004,1566090.0450620237
-238092.68838950177,-28593654.37614334,-8234065.627006189,-1759833.1741523638,-1110917.3131526879,-867805.7516723212,-1501251.2586584587,-1166732.922981991
-25368301.35202383,-34132019.856755875,-5034749.002106858,2259342.963857036,-902440.7919830934,1028383.4202912012,579362.5300906114,-1352966.0237391577
4655001.163735514,-4971748.059187643,-2160916.0180777037,2778727.2822099617,-1397442.1026813101,1251901.1613826975,-746480.8704338759,-707023.7547622387
